年,月,贸易种类,付运地,香港货物协调制度四位,统计数字,值,单位
"2025","12","整体出口","澳大利亚","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","101,209","千港元"
"2025","12","整体出口","加拿大","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","66","千港元"
"2025","12","整体出口","中国内地","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","28,825,167","千港元"
"2025","12","整体出口","德国","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","102","千港元"
"2025","12","整体出口","印度","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","254,453","千港元"
"2025","12","整体出口","印度尼西亚","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","553,834","千港元"
"2025","12","整体出口","意大利","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","40,342","千港元"
"2025","12","整体出口","日本","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","9,178","千港元"
"2025","12","整体出口","韩国","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","1,682,801","千港元"
"2025","12","整体出口","科威特","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","34","千港元"
"2025","12","整体出口","澳门","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","5,321","千港元"
"2025","12","整体出口","马来西亚","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","361,776","千港元"
"2025","12","整体出口","菲律宾","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","15","千港元"
"2025","12","整体出口","新加坡","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","624,787","千港元"
"2025","12","整体出口","瑞士","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","3,195,502","千港元"
"2025","12","整体出口","台湾","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","344,885","千港元"
"2025","12","整体出口","泰国","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","2,325,394","千港元"
"2025","12","整体出口","阿拉伯联合酋长国","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","8,124,985","千港元"
"2025","12","整体出口","英国","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","25,338,795","千港元"
"2025","12","整体出口","美国","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","1,830,677","千港元"
"2025","12","整体出口","越南","7108 - 黄金（包括镀铂的黄金），未锻造或半制成或粉末状","货值（按月）（千港元）","105,089","千港元"
注释︰		涉及某年较早月份的有关调整，只会纳入同年的累积总数。因此，个别月份数字的总和与累积总数未必相同。
		香港的对外商品贸易统计是根据进出口报关单上的资料编制。《中华人民共和国香港特别行政区基本法》说明，香港特别行政区为单独的关税地区。香港与中国内地之间的商品贸易，亦须办理进出口报关。而有关的统计资料，亦包括在香港的对外商品贸易统计数字内。
		由于四舍五入关系，个别数字加起来可能与总数不符。
		最新的「 香港进出口货物分类表（协调制度）」可于政府统计处的网站下载。https://www.censtatd.gov.hk/sc/page_94.html
		香港的贸易统计系统主要用作编制整体及较阔分类的商品贸易统计數字，供宏观经济分析所用，而非用作监察或追踪某些货物的进出口。本处有实施质素检定措施，但数据仍有机会出现误差，特别是按详细货物分类的数字。尽管如此，这些误差对于整体贸易数字的影响仍然是很轻微的。
		若HKHS 货物编号的所有货量及货值均为 0，则会被省略。
		若目的地的所有货量及货值均为 0，则会被省略。
资料来源︰		香港特别行政区政府
		政府统计处贸易资料分析组
		查询电话：2582 4915
		查询电邮：trade@censtatd.gov.hk
